bigg_id,name,iAF692_results,iAF987_results,iAM_Pb448_results,iAM_Pc455_results,iAM_Pf480_results,iAM_Pk459_results,iHN637_results,iJN1463_results,iML1515_results,iPC815_results,iSDY_1059_results,iSF_1195_results,iSSON_1240_results,iSbBS512_1146_results,iYL1228_results,iAF692,iAF987,iAM_Pb448,iAM_Pc455,iAM_Pf480,iAM_Pk459,iHN637,iJN1463,iML1515,iPC815,iSDY_1059,iSF_1195,iSSON_1240,iSbBS512_1146,iYL1228
akg_c,2-Oxoglutarate,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
ala_B_c,Beta-Alanine,OUT,OUT,,,,,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT
ala__L_c,L-Alanine,GSC,GSC,IS,IS,IS,IS,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,GSC,GSC,IS,IS,IS,IS,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
all6p_c,D-Allose 6-phosphate,,,,,,,,,GSC,IS,,,,,GSC,,,,,,,,,GSC,IS,,,,,GSC
amet_c,S-Adenosyl-L-methionine,OUT,GSC,IN,IN,IN,IN,OUT,GSC,GSC,IS,OUT,IS,OUT,OUT,GSC,OUT,GSC,IN,IN,IN,IN,OUT,GSC,GSC,IS,OUT,IS,OUT,OUT,GSC
ametam_c,S-Adenosylmethioninamine,,IS,IS,IS,IS,IS,OUT,,OUT,IS,OUT,IS,OUT,OUT,OUT,,IS,IS,IS,IS,IS,OUT,,OUT,IS,OUT,IS,OUT,OUT,OUT
apg160_c,Acyl phosphatidylglycerol (n-C16:0),,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT
apg161_c,Acyl phosphatidylglycerol (n-C16:1),,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT
apg180_c,Acyl phosphatidylglycerol (n-C18:0),,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT
apg181_c,Acyl phosphatidylglycerol (n-C18:1),,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT
arab__L_c,L-Arabinose,,,,,,,IN,IS,IN,IN,IN,IS,IN,IN,IN,,,,,,,IN,IS,IN,IN,IN,IS,IN,IN,IN
aragund_c,O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate,,,,,,,,,IS,,IS,IS,IS,IS,,,,,,,,,,IS,,IS,IS,IS,IS,
argtrna_c,L-Arginyl-tRNA(Arg),IS,IS,,,,,,IS,,IS,IS,IS,IS,IS,IS,IS,IS,,,,,,IS,,IS,IS,IS,IS,IS,IS
aso3_c,Arsenite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
btal_c,Butanal C4H8O,,GSC,,,,,IS,IS,IN,IS,IS,IS,IN,IS,IS,,GSC,,,,,IS,IS,IN,IS,IS,IS,IN,IS,IS
btcoa_c,Butanoyl-CoA,,GSC,,,,,IS,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,GSC,,,,,IS,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
btn_c,Biotin,IS,OUT,IS,IS,IS,IS,IS,OUT,OUT,IS,OUT,IS,OUT,OUT,IS,IS,OUT,IS,IS,IS,IS,IS,OUT,OUT,IS,OUT,IS,OUT,OUT,IS
btnso_c,D-biotin d-sulfoxide,,,,,,,,,IS,IS,IS,IS,IS,IS,IS,,,,,,,,,IS,IS,IS,IS,IS,IS,IS
butso3_c,Butanesulfonate,,IS,,,,,,IS,IN,IS,IS,IS,IN,IS,IS,,IS,,,,,,IS,IN,IS,IS,IS,IN,IS,IS
